Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
CON ED,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2020.0,400.0,CON ED
CON ED,Other,Westchester,Storm,Transformer,transformer oil,Petroleum,2013.0,100.0,CON ED
CON ED,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2016.0,400.0,CON ED
CON ED,BRONX,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,150.0,CON ED
CON ED,NEW ROCHELLE,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2018.0,150.0,CON ED
CON ED,QUEENS,Queens,Traffic Accident,Transformer,transformer oil,Petroleum,2019.0,240.0,CON ED
CON ED-FEEDER LEAK,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2008.0,500.0,CON ED-FEEDER LEAK
CON ED-NARROWS GAS TURBINE SITE,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2008.0,200.0,CON ED-NARROWS GAS TURBINE SITE
CON ED-UNDER GROUND STRUCTURE,MANHATTAN,New York,Equipment Failure,Transformer,dielectric fluid,Petroleum,2018.0,100.0,CON ED-UNDER GROUND STRUCTURE
CON EDISON,MANHATTAN,New York,Unknown,Commercial/Industrial,freon,Other,2001.0,350.0,CON EDISON
